1840,closed,XXX,brockwhittaker,22/09/2016,28/09/2016,Null
1839,closed,XXX,TomaszKolek,22/09/2016,23/09/2016,Null
1838,closed,XXX,hackerkid,22/09/2016,23/09/2016,Null
1837,closed,XXX,TomaszKolek,22/09/2016,23/09/2016,Null
1835,closed,XXX,showell,22/09/2016,22/09/2016,Null
1833,closed,XXX,arpith,22/09/2016,23/09/2016,Null
1832,closed,XXX,umairwaheed,22/09/2016,27/09/2016,Null
1829,closed,XXX,zeddmaxx,21/09/2016,11/10/2016,Null
1828,closed,XXX,umkay,21/09/2016,23/09/2016,Null
1827,closed,XXX,rishig,20/09/2016,06/10/2016,Null
1826,open,XXX,brockwhittaker,20/09/2016,Null,Null
1825,closed,XXX,showell,20/09/2016,20/09/2016,20/09/2016
1824,closed,XXX,umairwaheed,20/09/2016,21/09/2016,21/09/2016
1823,closed,XXX,umkay,20/09/2016,07/10/2016,Null
1822,closed,XXX,showell,20/09/2016,20/09/2016,20/09/2016
1820,open,XXX,TomaszKolek,19/09/2016,Null,Null
1819,closed,XXX,showell,19/09/2016,19/09/2016,Null
1818,closed,XXX,brockwhittaker,19/09/2016,19/09/2016,Null
1817,closed,XXX,showell,19/09/2016,19/09/2016,Null
1816,closed,XXX,sunnypalace,19/09/2016,19/09/2016,Null
1815,closed,XXX,umairwaheed,19/09/2016,27/09/2016,Null
1813,closed,XXX,kou,18/09/2016,18/09/2016,18/09/2016
1812,closed,XXX,sahildua2305,18/09/2016,27/09/2016,Null
1811,closed,XXX,showell,17/09/2016,17/09/2016,Null
1810,closed,XXX,showell,17/09/2016,17/09/2016,17/09/2016
1809,closed,XXX,sharmaeklavya2,17/09/2016,17/09/2016,Null
1808,open,XXX,showell,17/09/2016,Null,Null
1806,closed,XXX,timabbott,16/09/2016,16/09/2016,16/09/2016
1805,closed,XXX,showell,16/09/2016,17/09/2016,Null
1804,closed,XXX,showell,16/09/2016,16/09/2016,16/09/2016
1802,closed,XXX,showell,15/09/2016,16/09/2016,Null
1801,closed,XXX,showell,15/09/2016,16/09/2016,Null
1800,open,XXX,timabbott,15/09/2016,Null,Null
1799,closed,XXX,showell,15/09/2016,15/09/2016,Null
1798,closed,XXX,showell,15/09/2016,15/09/2016,Null
1796,closed,XXX,showell,15/09/2016,15/09/2016,15/09/2016
1794,closed,XXX,showell,14/09/2016,23/09/2016,Null
1793,closed,XXX,brockwhittaker,14/09/2016,20/09/2016,Null
1792,closed,XXX,sonali0901,14/09/2016,14/09/2016,Null
1790,closed,XXX,showell,14/09/2016,19/09/2016,Null
1789,closed,XXX,timabbott,13/09/2016,14/09/2016,Null
1788,closed,XXX,brockwhittaker,13/09/2016,27/09/2016,Null
1787,closed,XXX,showell,13/09/2016,13/09/2016,13/09/2016
1786,closed,XXX,umkay,13/09/2016,14/09/2016,Null
1785,closed,XXX,TomaszKolek,13/09/2016,05/10/2016,Null
1784,closed,XXX,showell,13/09/2016,13/09/2016,Null
1782,closed,XXX,timabbott,12/09/2016,14/09/2016,Null
1781,closed,XXX,umkay,12/09/2016,13/09/2016,Null
1780,closed,XXX,showell,12/09/2016,13/09/2016,Null
1778,open,XXX,showell,12/09/2016,Null,Null
1776,closed,XXX,TomaszKolek,11/09/2016,12/09/2016,Null
1775,closed,XXX,GPHemsley,11/09/2016,11/09/2016,11/09/2016
1773,closed,XXX,GPHemsley,11/09/2016,11/09/2016,Null
1772,closed,XXX,showell,11/09/2016,12/09/2016,Null
1771,closed,XXX,umairwaheed,11/09/2016,12/09/2016,Null
1766,closed,XXX,umkay,10/09/2016,10/09/2016,Null
1764,closed,XXX,timabbott,08/09/2016,08/09/2016,Null
1763,closed,XXX,umkay,07/09/2016,08/09/2016,Null
1759,closed,XXX,TomaszKolek,06/09/2016,08/09/2016,Null
1753,closed,XXX,umairwaheed,05/09/2016,10/10/2016,Null
1750,closed,XXX,rishig,02/09/2016,06/09/2016,Null
1749,closed,XXX,TomaszKolek,01/09/2016,14/09/2016,Null
1747,open,XXX,umairwaheed,01/09/2016,Null,Null
1746,closed,XXX,christi3k,01/09/2016,06/09/2016,Null
1745,open,XXX,umkay,01/09/2016,Null,Null
1742,closed,XXX,umairwaheed,31/08/2016,06/09/2016,Null
1740,open,XXX,rishig,30/08/2016,Null,Null
1738,closed,XXX,umairwaheed,30/08/2016,31/08/2016,Null
1737,closed,XXX,umairwaheed,30/08/2016,01/09/2016,Null
1735,closed,XXX,hackerkid,29/08/2016,22/09/2016,Null
1730,closed,XXX,GPHemsley,29/08/2016,31/08/2016,31/08/2016
1729,closed,XXX,GPHemsley,28/08/2016,12/09/2016,Null
